address,level,memo,name,ssq,telephone,type
重庆市铜梁区东城街道办事处兴农东街119号,一级,66987,铜梁王祖建诊所,铜梁区,,诊所
重庆市铜梁区东城街道办事处塔山东街430号,一级,66988,铜梁高清勇诊所,铜梁区,,诊所
重庆市铜梁区东城街道办事处龙城大道177号,一级,66990,铜梁陈春国诊所,铜梁区,,诊所
铜梁县东城街道金龙社区玉泉村3社,一级,67204,铜梁县东城街道金龙社区玉泉三社卫生点,铜梁区,,村卫生室
潼南县柏梓镇小岭村,一级,13757,潼南县柏梓镇小岭村-张仲涛,潼南区,,村卫生室
潼南县柏梓镇金盆村,一级,13734,潼南县柏梓镇金盆村-胡敏,潼南区,,村卫生室
潼南县塘坝镇俞桥村,一级,14427,潼南县塘坝镇俞桥村-游斌,潼南区,44341968,村卫生室
潼南县塘坝镇小屋村,一级,14432,潼南县塘坝镇小屋村-张大明,潼南区,,村卫生室
重庆市潼南区桂林街道办事处朝阳路683、684号,一级,66891,潼南吴娇诊所,潼南区,,诊所
米兴镇禅鹤村,一级,67603,潼南区米心镇禅鹤村-赵晓庆,潼南区,,村卫生室
潼南区梓潼街道办事处广宇路379号,一级,67604,潼南区梓潼镇哨楼村-杨华琼,潼南区,,村卫生室
永川红河大道143、145号（康桥小区）,一级,67548,永川李晓明诊所,永川区,,诊所
永川区大桥村任家桥村民小组,一级,60864,永川区茶山竹海街道大桥村任家桥卫生室,永川区,,村卫生室
永川区学府大道388号3幢附9号、10号,一级,67071,永川蒋文佑诊所,永川区,,诊所
永川区和顺大道389号附1号,一级,67080,永川陈历群诊所,永川区,,诊所
永川红河中路1023号,一级,67545,永川汤泽贵诊所,永川区,,诊所
永川化工路929号17幢附6、7号,一级,67538,永川周相清诊所,永川区,,诊所
永川区萱花路309号,一级,67541,永川邱朝庆诊所,永川区,,诊所
永川区探花路128号,一级,67543,永川朱锡彬诊所,永川区,,诊所
永川区胜利路51号（文曲路老党校斜对面）,一级,67542,永川区赵益文口腔诊所,永川区,,诊所
永川区南大街永隆场社区学府路2号,一级,67544,永川张德福诊所,永川区,,诊所
永川区来苏镇荆竹街66号,一级,67550,永川郑勇诊所,永川区,,诊所
江津区鼎山街道艾坪社区七居民组柴家林,一级,66901,江津区鼎山街道艾坪社区柴家林卫生室,江津区,,村卫生室
江津区李市镇洞塘村下场口,一级,66903,江津区李市镇洞塘村下场口卫生室,江津区,,村卫生室
江津区石蟆镇郭坪村大田壁5组,一级,66906,江津区石蟆镇郭坪村大田壁卫生室,江津区,,村卫生室
江津区白沙镇东岳路3号,一级,66893,江津郑宣中诊所,江津区,,诊所
重庆南岸烟雨堡46号附30号,一级,67482,南岸区周玉莲诊所,南岸区,,诊所
南坪双峰山路2号-41号,一级,13530,长江新村社区卫生服务站,南岸区,,社区卫生服务机构
南岸区腾龙大道50号附32号、附33号,一级,67483,南岸牛莹口腔诊所,南岸区,,诊所
南岸区南坪街道南坪东路11号E栋1层2号,一级,67485,南岸张增堂诊所,南岸区,62648025,诊所
"南岸区南坪西路66号重庆映像13,14号楼2、3、4层",一级,67486,重庆南岸骑龙山庄中医门诊部,南岸区,023-62958200,门诊部
重庆市南岸区学府大道9号附19号2楼,一级,66645,南岸八益口腔门诊部,南岸区,,门诊部
南岸区辅仁路8号商铺18号,一级,66821,南岸邹树清诊所,南岸区,,诊所
重庆市南岸区辅向路1号附2号,一级,66823,南岸丁文诊所,南岸区,,诊所
重庆市渝北区龙山街道新南支路2号附8号,一级,67058,渝北昌发毕明星诊所,渝北区,,诊所
渝北区龙兴镇和平村,一级,17662,渝北区龙兴镇和平村卫生室,渝北区,,村卫生室
渝北区新溉大道229号,一级,66877,重庆华西牙科医院,渝北区,,医院
重庆市渝北区御景铭洲尚品路1008号,一级,66880,渝北刘泽康诊所,渝北区,,诊所
重庆市渝北区新牌坊二路103号,一级,67526,渝北毛希刚顺畅诊所,渝北区,,诊所
王家街道硚田村,一级,12228,渝北区王家街道硚田村卫生室,渝北区,,村卫生室
重庆市渝北区回兴街道宝环路31-32号,一级,67061,安康诊所,渝北区,,诊所
重庆市渝北区红石路88号,一级,66875,重庆松树桥护理院,渝北区,,医院
重庆市渝北区龙溪街道红石路116号,一级,66882,渝庆口腔诊所,渝北区,,诊所
重庆市渝北区回兴街道凯歌路一支路99号,一级,67651,重庆港济中西医结合医院有限责任公司,渝北区,,医院
北碚区团山路59号,一级,67270,北碚区王玮琴中医内科诊所,北碚区,,诊所
重庆市北碚区胜利路81号,一级,67487,重庆市北碚区方元牙科诊所,北碚区,,诊所
北碚区澄江镇北泉村三花石,一级,67488,重庆市北碚区澄江镇北泉村卫生室,北碚区,,村卫生室
北碚区歇马镇歇马下街99-1号,一级,67491,北碚王晓琴口腔诊所,北碚区,,诊所
北碚区云华路206.206号,一级,67492,北碚刘能智中医内科诊所,北碚区,,诊所
重庆市北碚区天府镇沙坝48号,三级,67096,重庆市北碚区第二精神卫生中心,北碚区,,医院
北碚区蔡家岗镇同华路68、70号,一级,67489,北碚区徐生明内科诊所,北碚区,,诊所
北碚区金华路333号附30号,一级,67490,北碚区余维斌口腔诊所,北碚区,,诊所
蔡家组团凤林路182号4号商业楼负一至八楼,二级,67493,重庆恒韵瑞慈医院,北碚区,023-61300321,医院
重庆市北碚区蔡家两江名居C组团同荣路53-99号商铺,一级,66769,重庆嘉瑞医院,北碚区,,医院
巴南区鱼洞新世街8号附6号,一级,67498,刘进口腔诊所,巴南区,,诊所
巴南区东泉镇石板街20号,一级,67499,张子年诊所,巴南区,,诊所
巴南区和顺园5-13,一级,67503,杜军诊所,巴南区,,诊所
巴南区界石镇天骄花园7号,一级,67504,湛雪峰诊所,巴南区,66429029,诊所
巴南区李家沱马王坪新村2幢1-11,一级,67505,郭敏诊所,巴南区,,诊所
巴南区鱼洞黄溪街36号附2号,一级,67370,游德林中医诊所,巴南区,,诊所
巴南区李家沱群乐路48号,一级,67372,孙旭勤诊所,巴南区,,诊所
,一级,63386,内江市第六人民医院东站分院,成铁重庆社保部,,社区卫生服务机构
成都市金牛区二环路北三段365号附3号、349号附3号,二级,64966,成都市第十一人民医院,成铁重庆社保部,028-86431944,医院
成都市金牛区二环路北二段82号,三级,64967,成都大学附属医院,成铁重庆社保部,028-86434407,医院
达州市通川区西河路108号,二级,63379,达州市中西医结合医院第二分院,成铁重庆社保部,0818-2523172,医院
,一级,63384,内江铁路医院自贡分院,成铁重庆社保部,,社区卫生服务机构
,一级,63385,内江市第六人民医院宜宾分院,成铁重庆社保部,,社区卫生服务机构
,三级,63387,内江市第一人民医院,成铁重庆社保部,,医院
,三级,63389,宜宾市第二人民医院,成铁重庆社保部,,医院
,三级,63378,达州市中心医院,成铁重庆社保部,,医院
白市驿镇白龙路25号2幢,一级,67038,九龙坡区左红诊所,九龙坡区,,诊所
九龙坡区火炬大道绿韵康城1-2号附1-2号门面,一级,65846,重庆市华西口腔门诊有限公司(华西口腔巴国城门诊部）,九龙坡区,,门诊部
九龙坡区兴堰路2号附9号,一级,67449,九龙坡区石坪桥罗在会诊所,九龙坡区,,诊所
九龙坡区巴福镇巴福街668号附2号,一级,67455,九龙坡区廖江霞口腔诊所,九龙坡区,,诊所
九龙坡区华福大道北段16号11幢附3-1号、3-2号,二级,66819,重庆金英医院,九龙坡区,,医院
九龙坡区石坪桥冶金村新冶一公司8号门面,一级,66806,九龙坡区石坪桥汤家定诊所,九龙坡区,,诊所
沙坪坝区陈家桥街道桥东路4号附29号,一级,66779,沙坪坝蒋玲中医诊所,沙坪坝区,,诊所
沙坪坝区大学城景阳路20号附31号,一级,66784,沙坪坝张明金中西医结合诊所,沙坪坝区,,诊所
沙坪坝区都市花园西路9号附18号,一级,66789,沙坪坝李隆寿中医诊所,沙坪坝区,,诊所
沙坪坝区沙坪坝街道一心村21-4号,一级,66772,沙坪坝简传华中医诊所,沙坪坝区,,诊所
江北区建新东路82号,二级,67379,重庆景城医院,江北区,,医院
江北区建新东路282号1栋,二级,67378,重庆华厦眼科医院,江北区,,医院
江北区翠微路182号,一级,67381,江北区铁山坪街道铁山社区卫生服务站,江北区,,社区卫生站
江北区富强二村1-2号,一级,67390,江北杨玲诊所,江北区,,诊所
江北区红原路111号附1号2-7,一级,67089,江北胡文煦口腔诊所,江北区,,诊所
江北区北城三路1号五江花园4栋1层1号,一级,67093,江北保祥诊所,江北区,,诊所
重庆市江北区海尔路179号附42号,一级,67094,江北华庆诊所,江北区,,诊所
江北区读书一村11号附7号,一级,66936,江北显光诊所,江北区,,诊所
江北区宏帆路8号2栋3号门面,一级,66937,江北智蓉诊所,江北区,,诊所
江北区郭家沱大溪一村临4号,一级,67391,江北周义华诊所,江北区,,诊所
江北区大石坝2号元佳花园5栋4,一级,67091,江北林中中医诊所,江北区,,诊所
江北区金果园小区55号附1号,一级,67092,江北正祥中医诊所,江北区,,诊所
江北区中兴段87号附5号,一级,67389,江北曾新民诊所,江北区,,诊所
南岸区回龙路88号8幢附78号,一级,66946,南岸杜江平诊所,南岸区,,诊所
重庆经开区鼓楼六村5幢2层附18号（同属桃源路24号）,一级,67479,南岸左震口腔诊所,南岸区,,诊所
重庆市南岸区光电路26号附7号,一级,67484,南岸程传勇诊所,南岸区,,诊所
茶园新区香溪路1号附1-103,一级,66939,南岸严成明诊所,南岸区,,诊所
南岸区丹龙路18号附62号,一级,66945,南岸马文举诊所,南岸区,,诊所
江南大道7号西南经协大厦D-1-10号11号12号,一级,66940,重庆南岸康乐中西医结合门诊部,南岸区,023-62985120,门诊部
广福大道4号附20号,一级,66941,南岸唐刚诊所,南岸区,,诊所
重庆市渝北区龙溪街道金山路9号附7号,一级,67652,重庆梧桐轩中医院,渝北区,,医院
重庆市渝北区双龙湖街道龙升南街5号A幢办公楼,一级,67653,重庆春华医院,渝北区,,医院
重庆市渝北区观河路28号,一级,67654,重庆临港中西医结合医院,渝北区,,医院
渝北区龙塔街道尚品路778号附71号鲁能星城六街区15幢,一级,67661,渝北卓众谢广东诊所,渝北区,,诊所
重庆市渝北区松桥支路1号L4层,一级,67664,重庆渝北仁一堂中医门诊部,渝北区,,门诊部
重庆市北碚区北温泉街道双元大道,一级,66765,北碚区苟骁内科诊所,北碚区,,诊所
北碚区复兴镇和源家园三期吉水街246号-1号、266号,一级,67268,两江新区徐代荣内科诊所,北碚区,,诊所
重庆市北碚区蔡家岗镇两江名居蔡顺路120号,一级,67637,北碚谢术龙中医诊所,北碚区,,诊所
重庆市北碚区天生路62号附4、5号,一级,67636,北碚谌敏诊所,北碚区,,诊所
重庆市北碚区卢作孚路256号,一级,68162,北碚区陈远琴口腔诊所,北碚区,,诊所
巴南区鱼胡路18号15幢1-5号,一级,67371,刘绪琴中医诊所,巴南区,,诊所
巴南区花溪红光大道19号,一级,67014,巴南柏友文中医诊所,巴南区,,诊所
巴南区鱼洞鱼胡路7号,一级,67016,徐永念诊所,巴南区,,诊所
巴南区红光大道19号附145号,一级,67496,颜彬中医诊所,巴南区,,诊所
巴南区南彭街道巨龙桥街25号,一级,67009,田淮瑜诊所,巴南区,,诊所
巴南区鱼洞街道云锦路307号附20-23号,一级,67367,巴南区益健中西医结合综合门诊部,巴南区,,门诊部
巴南区花溪红光大道33号附3号,一级,67895,石文武诊所,巴南区,,诊所
万盛经开区南铜801棚户区801村833号附1-11号,一级,66854,万盛经济技术开发区卓涛口腔诊所,万盛区,,诊所
万盛经开区塔山路321号（财富广场55号）,一级,67300,杨作涛中医诊所,万盛区,,诊所
重庆市万盛经济技术开发区黑山镇八角社区,二级,67600,重庆市万盛经济技术开发区黑山谷国际运动医院,万盛区,,医院
万盛老街G7栋吊一层4号门面,一级,68063,万盛谢峥嵘美佳尔口腔诊所,万盛区,,诊所
万盛经开区南桐镇南铜花园10号附1-3,一级,67800,刘远洲中西医结合诊所,万盛区,,诊所
重庆市万盛经济技术开发区青年镇新场26号,一级,67887,重庆市万盛经济技术开发区青年镇堡堂村新场卫生室,万盛区,,村卫生室
万盛经开区塔山翠屏路2号附8号,一级,68074,重庆市万盛经济技术开发区万东镇新房社区卫生服务站,万盛区,,社区卫生站
重庆市万盛经开区鱼田堡工人村28栋153号,一级,10874,雷洋诊所,万盛区,48299626,诊所
万盛经开区万东镇翠屏路16号楼1-1,一级,11961,欧剑川中医诊所,万盛区,,诊所
万盛经开区南铜镇801棚户区二郎峡11号附21、22号,一级,66512,曹锋诊所,万盛区,,诊所
重庆市万盛经开区丛林镇新建村彭家湾,一级,66513,重庆市万盛经济技术开发区丛林镇新建村彭家湾卫生室,万盛区,,村卫生室
重庆市万盛经开区万东镇松林路28号附1-1-4,一级,66511,任昌建口腔诊所,万盛区,,诊所
,三级,63380,达州市中西医结合医院,成铁重庆社保部,,医院
前锋镇康宁路,一级,63381,广安市前锋区前锋中心卫生院,成铁重庆社保部,,医院
,一级,63383,隆昌铁路医院,成铁重庆社保部,,社区卫生服务机构
四川省内江市市中区民族路51号,三级,63388,内江市中医医院,成铁重庆社保部,,医院
自贡市自井区尚义号一支路42号(本部),三级,63390,自贡市第一人民医院,成铁重庆社保部,0813-2121065,医院
内江市市中区壕子口路铁占街东巷48号,二级,63382,内江市第六人民医院,成铁重庆社保部,,社区卫生服务机构
九龙坡区西彭镇铝城南路13号2幢1-7号,一级,66811,重庆朗飞口腔门诊部,九龙坡区,,门诊部
龙坡区九龙镇九龙花园美食街3号,一级,10684,重庆市九龙坡区九龙镇九龙花园社区卫生服务站,九龙坡区,,社区卫生服务机构
西彭镇东林村,一级,19241,西彭镇东林村卫生室,九龙坡区,,村卫生室
九龙坡区矿机村99号3幢附1-10,一级,67034,九龙坡区石坪桥刁孝平诊所,九龙坡区,,诊所
石坪桥正街125号1幢附8号,一级,67043,九龙坡区石坪桥尹怀磊诊所,九龙坡区,,诊所
九龙坡区六店子小区7栋附2号门面,一级,67448,高新技术产业开发区殷嘉银诊所,九龙坡区,,诊所
九龙坡区石小路210号-23-24号,一级,67451,高新技术产业开发区陈氏口腔诊所,九龙坡区,,诊所
九龙坡区渝州路39号（1号、2号、3号、4号楼）,二级,67457,重庆恒和中西医结合医院（有限合伙）,九龙坡区,,医院
九龙坡区黄桷坪新建路3栋步行街9号、14号,一级,67033,重庆市九龙坡区黄桷坪街道黄正街社区卫生服务站,九龙坡区,,社区卫生服务机构
沙坪坝区沙滨路11号附56号,一级,66774,沙坪坝周正琼中医诊所,沙坪坝区,,诊所
沙坪坝区大水井60号附4号,一级,66775,沙坪坝吴培亮诊所,沙坪坝区,,诊所
沙坪坝区联芳桥13号附59号,一级,66778,沙坪坝张鸿茂诊所,沙坪坝区,,诊所
凤天大道49附38-1、45-1、23-2、36-2、39-2、41-2,一级,66785,沙坪坝潘晓川医疗美容诊所,沙坪坝区,,诊所
沙坪坝区凤天大道49号附13号,一级,66793,重庆沙坪坝俞盛堂中医门诊部,沙坪坝区,,门诊部
沙坪坝区井口镇远祖桥郭家岚垭8号,一级,66782,沙坪坝帅代珍诊所,沙坪坝区,,诊所
沙坪坝区曾家镇曾凤路295号,一级,66771,重庆云轩中医医院有限公司,沙坪坝区,,医院
沙坪坝区白鹤岭3号附30号,一级,66781,沙坪坝杨汉东诊所,沙坪坝区,,诊所
沙坪坝区歌乐山镇天池村韭菜湾社85号,一级,67178,沙坪坝何杰诊所,沙坪坝区,,诊所
沙坪坝区土湾新民村59号附8号,一级,67751,沙坪坝刘嘉林口腔诊所,沙坪坝区,,诊所
沙坪坝区清溪路169号附2号,一级,67752,沙坪坝袁大俊中医诊所,沙坪坝区,,诊所
江北区海尔路181号附145号,二级,67296,重庆市红十字会医院（江北区人民医院）兰溪院区,江北区,88519100,医院
江北区建新东路51号附2号,一级,67087,江北兴民诊所,江北区,,诊所
巴南区鱼洞街道新市街78号天和苑3-1号,一级,67894,涂永中医诊所,巴南区,,诊所
重庆两江新区人和街道万年路二支路118号,一级,67410,重庆万康医院,两江新区,62637123,医院
北部新区鸳鸯街道金童路48、50号,一级,67409,重庆承昂中西医结合门诊部,两江新区,,门诊部
重庆经济技术开发区北区金童路59号,一级,66888,两江新区代敏诊所,两江新区,,诊所
重庆两江新区人和龙寿路830号,一级,67781,两江新区杨玉明诊所,两江新区,,诊所
重庆市北部新区金安路2号4栋1-1,二级,67787,重庆两江民生医院,两江新区,,医院
重庆两江新区云竹路6号附6号,一级,67778,两江新区周劲松诊所,两江新区,,诊所
重庆两江新区金开大道1668号103幢负1-商铺4,一级,67779,两江新区任晓伊诊所,两江新区,,诊所
重庆市北部新区金童路283号,一级,67777,两江新区孙登政中医诊所,两江新区,,诊所
